Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that 'Search' functionality showing results according to searched data,UM-59,10094,Test,Blocked,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:44 PM,09/Sep/21 9:29 AM,09/Sep/21 9:29 AM,,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-11,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zzy,,UM Sprint 1,,,,,,,,In Progress
Verify that on the add manufacturers page after clicking on the 'Save' button it should save the data on the records page,UM-58,10093,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:35 PM,09/Sep/21 9:26 AM,09/Sep/21 9:27 AM,07/Sep/21 10:12 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-27,UM-2,,,,,,,,,{},,,,,,,0|i000ah:,,UM Sprint 1,,,,,,,,Done
Verify that in the 'Sort Order' field after modifications if admin clicks on the cancel button it should not be displayed on the records page,UM-57,10092,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:25 PM,09/Sep/21 9:25 AM,09/Sep/21 9:25 AM,07/Sep/21 10:19 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-56,UM-21,,,,,,,,,{},,,,,,,0|i000au:zi,,UM Sprint 1,,,,,,,,Done
Verify that in the 'Sort Order' field by default order is mentioned,UM-56,10091,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:23 PM,09/Sep/21 9:24 AM,09/Sep/21 9:24 AM,07/Sep/21 10:18 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-55,UM-21,,,,,,,,,{},,,,,,,0|i000au:z,,UM Sprint 1,,,,,,,,Done
"Verify that on the 'Image Field' by default image is uploaded, If admin modifies it and clicks on the cancel button it's should not be saved",UM-55,10090,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:17 PM,09/Sep/21 9:24 AM,09/Sep/21 9:24 AM,07/Sep/21 10:18 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-42,UM-21,,,,,,,,,{},,,,,,,0|i000au:y,,UM Sprint 1,,,,,,,,Done
Verify that in the field of 'Stores' after modifications if admin clicks on the cancel button it should not be displayed on the records page,UM-54,10089,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:11 PM,09/Sep/21 9:16 AM,09/Sep/21 10:33 AM,07/Sep/21 10:18 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-53,UM-21,,,,,,,,,{},,,,,,,0|i000au:v,,UM Sprint 1,,,,,,,,Done
Verify that in the field of 'Stores' by default checkbox should be checked ,UM-53,10088,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:08 PM,09/Sep/21 9:16 AM,09/Sep/21 10:33 AM,07/Sep/21 10:18 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-52,UM-21,,,,,,,,,{},,,,,,,0|i000au:r,,UM Sprint 1,,,,,,,,Done
Verify that after modifications in the 'Manufacturers Name' field if admin clicks on cancel button it should not be displayed on the records page,UM-52,10087,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:01 PM,09/Sep/21 9:16 AM,09/Sep/21 10:33 AM,07/Sep/21 10:18 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-51,UM-21,,,,,,,,,{},,,,,,,0|i000au:i,,UM Sprint 1,,,,,,,,Done
Verify that in the field of 'Manufacturers Name' by default  data should be displayed,UM-51,10086,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 10:54 PM,09/Sep/21 9:16 AM,09/Sep/21 10:33 AM,07/Sep/21 10:18 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-50,UM-21,,,,,,,,,{},,,,,,,0|i000au:,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on the 'Edit Button' it navigates to the 'Add Manufacturers' page,UM-50,10085,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 10:47 PM,09/Sep/21 9:15 AM,09/Sep/21 10:33 AM,07/Sep/21 10:17 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-49,UM-21,,,,,,,,,{},,,,,,,0|i000at:,,UM Sprint 1,,,,,,,,Done
